Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2022-12-02 12:14:31,2022-12-03 14:58:12,Tops-Chiangmai,-15.67,0.16,GBP,COMPLETED,1295.55
CARD_PAYMENT,Current,2022-12-02 08:06:20,2022-12-03 14:58:12,Tops-Chiangmai,-8.70,0.09,GBP,COMPLETED,1286.76
CARD_PAYMENT,Current,2022-12-02 04:06:35,2022-12-03 14:58:12,Tops-Chiangmai,-7.66,0.08,GBP,COMPLETED,1279.02
CARD_PAYMENT,Current,2022-12-01 00:37:04,2022-12-03 15:02:45,7-11 Di Chai Mall,-1.07,0.01,GBP,COMPLETED,1277.94
CARD_PAYMENT,Current,2022-12-04 02:19:49,2022-12-04 02:19:49,Google *temporary Hold,0.00,0.00,GBP,COMPLETED,1277.94
CARD_PAYMENT,Current,2022-12-04 02:20:21,2022-12-04 14:45:43,Google Youtubepremium,-7.05,0.14,GBP,COMPLETED,1270.75
CARD_PAYMENT,Current,2022-12-03 10:40:47,2022-12-04 14:51:32,Tops-Chiangmai,-11.83,0.24,GBP,COMPLETED,1258.68
CARD_PAYMENT,Current,2022-12-03 05:25:24,2022-12-04 14:51:32,Tops-Chiangmai,-8.86,0.18,GBP,COMPLETED,1249.64
CARD_PAYMENT,Current,2022-12-02 00:57:11,2022-12-04 14:54:36,7-11 Di Chai Mall,-0.99,0.01,GBP,COMPLETED,1248.64
TRANSFER,Current,2022-12-05 00:00:00,2022-12-05 01:19:05,To Big Yellow,-96.80,0.00,GBP,COMPLETED,1151.84
CARD_PAYMENT,Current,2022-12-04 06:05:27,2022-12-05 13:51:44,Tops-Chiangmai,-7.26,0.14,GBP,COMPLETED,1144.44
CARD_PAYMENT,Current,2022-12-03 01:03:02,2022-12-05 13:55:57,7-11 Di Chai Mall,-2.39,0.04,GBP,COMPLETED,1142.01
CARD_PAYMENT,Current,2022-12-05 11:35:25,2022-12-06 13:32:03,Tops-Chiangmai,-5.45,0.05,GBP,COMPLETED,1136.51
CARD_PAYMENT,Current,2022-12-05 06:54:43,2022-12-06 13:32:03,Tops-Chiangmai,-6.25,0.06,GBP,COMPLETED,1130.20
