Description,Amount
Ssijeoiiollibeuyeong(joo),-159.85
Zara-Chiangmai,-148.61
Myujeueuiueon,-129.45
To Big Yellow,-96.80
Gc Wellness House,-95.39
Ssp-Chiangmai 3,-92.34
Uniqlo-C.festival Chiangm,-75.58
Kasikorn Bank Pcl,-59.47
Kasikorn Bank Pcl,-58.99
Gmarket,-42.18
Facebk *5g7qnk3pu2,-41.60
Facebk *3at77lbpu2,-41.41
Facebk *j6fa2lxnu2,-41.37
Ktlomingsenteo    4956034,-39.61
Cj Olive Young Guwol Town,-30.67
Ministop  Mansu  2nd Stor,-23.37
Ogtoshuhol,-23.15
Uber * Pending,-22.92
Tegen,-20.27
Bbobja (bbobja),-19.79
Gs25gooworlsungeujum,-18.05
Suepeugookbab,-15.27
Pijashab Namdongjum,-14.53
Chicken           1775226,-14.49
(joo)gyobomoongo-Moonhoab,-14.49
Yuganaedaggalbi,-13.88
Seooleungpijagooworlju,-13.81
(joo)momatoosseomincheong,-13.29
Toosseompeulleiseu Incheo,-12.80
Cafe Town Take Out,-12.64
Udemy, Inc.,-12.60
Udemy, Inc.,-12.60
7-Eleven,-11.95
Puradak Daisanjeom,-11.87
Jomaru Gamjatang  8852314,-11.86
(joo)momatoosseomincheong,-11.67
(joo)momatoosseomincheong,-11.43
Ssijeoiiollibeuyeong(joo),-11.20
Darksalbubu,-11.19
Gs25gooworlsungeujum,-10.63
(joo)gyobomoongo-Moonhoab,-10.57
Cafe Town Take Out,-10.20
Tops-Chiangmai,-9.42
Udemy, Inc.,-9.23
Tops-Chiangmai,-8.87
(joo)atparks Skwaeeowo,-8.72
(joo)momatoosseomincheong,-8.52
Gs25gooworlsungeujum,-8.50
Sseondeochikininhadaijeom,-8.49
Adobe,-7.43
Seutabeokseukolia,-7.42
Good Morning  Pastry  Buc,-7.36
Google Youtubepremium,-7.30
Seutabeokseukolia,-7.17
Tops-Chiangmai,-6.87
Seutabeokseukolia,-6.79
Gs25gooworlsungeujum,-6.31
Dlobtab Boochunyukjum,-6.30
Ministop  Yeouido  Park B,-5.93
Tops-Chiangmai,-5.71
Tegen,-5.64
Paris Baguette Hakik Poon,-5.61
Cafe Town Take Out,-5.45
Uber * Pending,-5.27
Sangsanggongganpeulleoseu,-4.98
Uber *trip Help.uber.com,-4.83
Seutabeokseukolia,-4.71
Seutabeokseukolia,-4.67
Seutabeokseukolia,-4.66
Seutabeokseukolia,-4.38
Seutabeokseukolia,-4.18
Zies25 Gooworlhyomyong,-4.16
Seutabeokseukolia,-4.15
Seutabeokseukolia,-4.14
325 Sct-Chiangmai Ram Hos,-3.97
Zies25(gs25) Boochunje,-3.92
Dlobtab Boochunyukjum,-3.85
Zies(gs)25 Gooworlfand,-3.79
Brothers Food     6545984,-3.65
Seutabeokseukolia,-3.58
Seutabeokseukolia,-3.55
Seutabeokseukolia,-3.54
Pom De Pang Bakery,-3.51
Cafe Town Take Out,-3.45
Hompeulleoseu Incheonyeon,-3.33
Sangsanggongganpeulleoseu,-3.32
Assabieo Boochunjum,-3.32
Seutabeokseukolia,-3.24
(joo)momatoosseomincheong,-3.22
Sebeunillebeun Yoinghyeon,-3.21
www.grab.com,-3.12
7-Eleven,-2.92
Bakery            9377144,-2.64
Gs25gooworlsungeujum,-2.55
Keompojeukeopi(namincheon,-2.52
Keompojeukeopi Songnaiyeo,-2.33
Zies(gs)25inhahaesung,-2.18
Tops-Chiangmai,-2.13
Palibakeddeu(yesoolhwe,-2.12
Gacheon  Cultural Foundat,-1.99
Shangri-La Hotel Chiangma,-1.69
Gs25yueuparagonjum,-1.65
Paris Baguette  Incheon S,-1.64
Cj Olive Young Guwol Town,-1.33
Ssiyugooueolyeoisoolhoigo,-1.20
Shopify* 164253006,-1.00
7-Eleven,-0.80
Gs25gooworlsungeujum,-0.73
7-11 Di Chai Mall,-0.61
Gs 25  Guwol  Seongui Br,-0.60
Zies25 Gooworlhyomyong,-0.60
Payment from Sogang University,36.76
Payment from Serhii Kuzovkov,2196.40
